常用,#genre#
ABC NEWS,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
CNN,https://cnn-cnninternational-1-de.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
Fox News,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV13,http://111.40.196.30/PLTV/88888888/224/3221225504/index.m3u8
CCTV5,http://39.135.6.132:6610/000000001001/6000000001000016431/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000016431
CCTV5+,http://39.135.6.132:6610/000000001001/6000000001000015875/1.m3u8?stbId=3&livemode=1&channel-id=wasusyt&Contentid=6000000001000015875
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
五星体育,http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
DW,http://tv.redrainl.site:9500/live.m3u8?c=30
半岛新闻,http://tv.redrainl.site:9500/live.m3u8?c=34
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
TOP_News,http://tv.redrainl.site:9500/live.m3u8?c=14
Al Jazeera,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
Bloomberg TV,https://www.bloomberg.com/media-manifest/streams/asia.m3u8
TRT World,https://tv-trtworld.live.trt.com.tr/master.m3u8
DW English (1080p),https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
Bloomberg TV Asia Live Event,https://www.bloomberg.com/media-manifest/streams/asia-event.m3u8
euronews,https://d1mpprlbe8tn2j.cloudfront.net/v1/master/7b67fbda7ab859400a821e9aa0deda20ab7ca3d2/euronewsLive/87O7AhxRUdeeIVqf/ewnsabren_eng.m3u8
NHK华语视界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

TW,#genre#
中天新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=24
TVBS56,http://140.238.155.232:9000/jmsytb.m3u8?c=29
TVBS新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=31
三立LIVE,http://140.238.155.232:9000/jmsytb.m3u8?c=23
中视新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=25
台视新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=26
寰宇新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=27
东森财经新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=35
东森财经新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=36
镜新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=38
中视新闻,http://140.238.155.232:9000/jmsytb.m3u8?c=25
台湾inews,http://140.238.155.232:9000/jmsytb.m3u8?c=22
NASA,http://140.238.155.232:9000/jmsytb.m3u8?c=17

体育,#genre#
CCTV5-高清(1),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5-高清(2),http://111.29.9.47:6610/000000001000/1000000005000025222/index.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=3
