常用,#genre#
ABC NEWS,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
CNN,https://cnn-cnninternational-1-de.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
Fox News,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV5,http://124.220.17.172/as.php?id=5
CCTV5+,http://124.220.17.172/as.php?id=5p
CCTV16,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
4k世界杯,http://cdn.spmr.tv:8080/pr8kvn/video.m3u8?token=WYPW6GSH4H
五星体育,http://60.213.135.147/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://14.205.73.133/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
DW,http://tv.redrainl.site:9500/live.m3u8?c=30
半岛新闻,http://tv.redrainl.site:9500/live.m3u8?c=34
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
TOP_News,http://tv.redrainl.site:9500/live.m3u8?c=14
Al Jazeera,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
Bloomberg TV,https://www.bloomberg.com/media-manifest/streams/asia.m3u8
TRT World,https://tv-trtworld.live.trt.com.tr/master.m3u8
DW English (1080p),https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
Bloomberg TV Asia Live Event,https://www.bloomberg.com/media-manifest/streams/asia-event.m3u8
euronews,https://d1mpprlbe8tn2j.cloudfront.net/v1/master/7b67fbda7ab859400a821e9aa0deda20ab7ca3d2/euronewsLive/87O7AhxRUdeeIVqf/ewnsabren_eng.m3u8
NHK华语视界,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
俄罗斯中文,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

TW,#genre#
寰宇新闻,http://tv.redrainl.site:9500/live.m3u8?c=22#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#http://140.238.155.232:9000/jmsytb.m3u8?c=27#https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8#http://140.238.155.232:9000/jmsytb.m3u8?c=27#https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
镜新闻Mnews,http://tv.redrainl.site:9500/live.m3u8?c=28#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8#http://140.238.155.232:9000/jmsytb.m3u8?c=38#https://ytm2.yuanhsing.cf/mnews.m3u8#https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv075#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8#http://140.238.155.232:9000/jmsytb.m3u8?c=38#https://ytm2.yuanhsing.cf/mnews.m3u8#https://stream.naihe.cf/api/v2/channel3.m3u8?hd=1080&fid=4gtv-4gtv075
